SNR,BER,FER,CFO,MOD,CODERATE
21,0.123834360676466,0.555555555555556,-1.01261195794782,2,0.833333333333333
6,0,0,-0.556460181714916,2,0.666666666666667
19,0.00255486074923282,0.777777777777778,3.31017902208121,64,0.75
0,0.5,1,5.74858012639026,2,0.833333333333333
12,0,0,10.698179748718,16,0.5
19,0,0,6.41592721240243,2,0.666666666666667
8,0.00107932022449861,0.555555555555556,0.830884650259094,4,0.833333333333333
14,0.5,1,0,64,0.5
24,0,0,-0.925304722664558,2,0.833333333333333
22,0.235303812767828,1,4.23391593127778,256,0.666666666666667
12,0,0,0.61199590858391,2,0.666666666666667
7,0,0,3.77088991301777,4,0.5
12,0.5,1,19.478216767509,64,0.833333333333333
13,0.398774423516986,1,7.89647528716355,16,0.833333333333333
25,0,0,6.95543326018791,2,0.5
25,0.0399203350613596,1,6.65174119992425,1024,0.666666666666667
3,0.5,1,0,2,0.666666666666667
20,0.13755721709101,1,16.1892629184019,256,0.5
15,0.00248169443215883,0.111111111111111,-4.66791725221094,4,0.666666666666667
20,0,0,-2.98633900706301,2,0.833333333333333
23,0.439888662466134,1,5.97096340304048,1024,0.833333333333333
19,0.361694442003729,1,3.60477420036422,1024,0.666666666666667
15,0,0,4.63402331125443,2,0.75
8,0.439770975556045,1,5.13708242100655,16,0.666666666666667
17,0.498684405718346,1,6.4232108737782,1024,0.833333333333333
12,0.0885226680562793,1,5.30190720606474,64,0.75
0,0.5,1,0,256,0.833333333333333
22,0.471118604310218,1,7.52164902360472,64,0.666666666666667
4,0.490054567857772,1,3.43880874287668,16,0.833333333333333
20,0,0,3.362802086542,4,0.833333333333333
14,0,0,2.14979791930222,16,0.833333333333333
19,0,0,1.85550809282649,4,0.833333333333333
8,0.5,1,0,256,0.833333333333333
4,0.00486784932536182,1,14.4866135584156,16,0.5
20,0,0,8.95548995749875,64,0.666666666666667
11,0.00136246656910733,0.571428571428571,6.18196356341955,4,0.833333333333333
5,0.475990538143111,1,-11.7513637587515,4,0.5
1,0.5,1,0,64,0.5
0,0,0,0.183873767204979,2,0.833333333333333
3,0.5,1,0,16,0.666666666666667
15,0.185351855475119,1,-1.30797338943102,64,0.5
18,0,0,3.38183952698259,16,0.5
19,0,0,5.86866780195073,4,0.5
8,0.482212023565407,1,5.21613539126858,256,0.75
7,0.146394414128968,1,0.989376041023857,16,0.833333333333333
6,0.000171998624011008,0.111111111111111,-3.00358581575987,4,0.666666666666667
13,0.497619309233418,1,3.13636141134215,256,0.666666666666667
12,0.497049993926458,1,4.62237201160521,1024,0.75
7,0.219612229679344,1,-4.66939764687492,4,0.833333333333333
20,0.00485880127828866,1,9.42883266847532,16,0.75
22,0,0,8.91324342859643,4,0.833333333333333
7,0.501521037970972,1,-2.98562617076133,256,0.5
23,0,0,4.02663886289322,2,0.833333333333333
2,0.5,1,0,256,0.5
7,0.498471434161612,1,1.55348040620974,64,0.5
19,0,0,10.9673582078679,16,0.666666666666667
3,0.5,1,0,64,0.833333333333333
8,0.5,1,0,64,0.833333333333333
11,0.5,1,0,1024,0.666666666666667
3,0.409400694719254,1,-9.0227635992844,2,0.75
7,0.5,1,0,256,0.666666666666667
6,0.5,1,0,2,0.5
1,0.5,1,0,2,0.833333333333333
21,0.495410604433161,1,1.93817734627869,256,0.75
9,0,0,-3.31804013927885,2,0.5
4,0.337746472749408,1,10.660325487612,16,0.75
4,0.5,1,0,256,0.75
2,0.5,1,0,2,0.75
14,0,0,2.19236834769842,64,0.5
20,0,0,6.40237346518113,2,0.5
2,0.5,1,0,2,0.5
11,0,0,8.25003742317097,16,0.5
22,0.0161103780807637,1,-0.845929280834946,256,0.5
14,0.0258021179073811,1,9.50365155195522,2,0.833333333333333
9,0.5,1,0,4,0.5
14,0.0796987814041622,0.888888888888889,1.23991829774843,16,0.5
22,0,0,8.88254971962392,2,0.5
3,0.5,1,1.43342195040103,64,0.5
10,0.500971766706579,1,7.39493277127869,1024,0.75
12,0,0,0.610417800880127,4,0.5
4,0.499755656550848,1,10.2334179894977,256,0.5
25,0.00307672165488348,0.444444444444444,1.31448546139544,4,0.75
23,0.232172859766342,1,7.21277322358274,64,0.833333333333333
22,0.180548317989694,1,9.30762918454811,64,0.75
2,0.5,1,0,4,0.75
21,0.113919286665509,1,15.4862268640218,64,0.75
5,0.14892715059023,1,6.22513517293649,16,0.75
9,0.500989119683482,1,9.12950618164338,1024,0.75
8,0,0,0.320402050330853,4,0.666666666666667
9,0.5,1,0,256,0.5
17,0,0,-4.87654248898955,4,0.666666666666667
18,0.0796981191718034,0.777777777777778,2.22655435965745,2,0.833333333333333
16,0.000743383883437407,0.111111111111111,2.04254637252999,2,0.666666666666667
23,0,0,6.37130982494156,16,0.5
10,0.144078223611835,1,7.65974295808538,64,0.75
0,0.5,1,0,16,0.75
8,0.5,1,0,1024,0.75
10,0,0,17.0802803008891,2,0.75
7,0.49974602430352,1,5.65776661345363,1024,0.5
13,0.00118717847249703,0.333333333333333,2.04037059678538,2,0.75
16,0.250183257586864,1,7.71018603116363,64,0.666666666666667
11,0,0,5.91538714639293,4,0.833333333333333
4,0,0,10.4426579131372,2,0.833333333333333
19,0.00528944083054077,0.777777777777778,2.42405733000419,4,0.5
23,0,0,5.33837526177686,2,0.833333333333333
10,0,0,2.21065649313838,2,0.75
18,0.0790613953639903,1,6.69358384947582,256,0.5
25,0,0,2.75177273082802,64,0.833333333333333
18,0.499207520358529,1,-3.17025163510429,1024,0.833333333333333
23,0.153508771929825,1,8.78826813256871,64,0.75
1,0.5,1,0,16,0.75
3,0.5,1,-0.553089112815642,4,0.666666666666667
25,0.00387585547061867,0.888888888888889,3.59241702561264,256,0.833333333333333
19,0,0,-0.239851674581276,16,0.666666666666667
14,0.49942223159144,1,10.4018387203892,1024,0.833333333333333
9,0.479385475952982,1,5.4994037263879,16,0.833333333333333
13,0.500966523152623,1,13.1146819918259,1024,0.666666666666667
15,0.000271745037935607,0.444444444444444,-4.71627528593541,64,0.5
21,0,0,-0.595374264838326,4,0.5
25,0,0,7.61329643294578,16,0.5
10,0.0116370344205032,1,0.535413387546672,4,0.833333333333333
9,0,0,11.2316956684143,2,0.75
6,0.165332875098193,1,-5.24267420425488,4,0.75
7,0.5,1,0,4,0.666666666666667
15,0.000863902179691653,0.444444444444444,1.70402886094807,2,0.5
21,0.00175149093856754,0.888888888888889,4.44891117634492,64,0.75
15,0.463095377642324,1,11.5403030265925,1024,0.5
21,0,0,6.01054397827224,64,0.5
15,0.478082392611054,1,11.5563694181408,256,0.5
14,0.376419228200492,1,7.60253761534245,256,0.5
4,0.5,1,0,16,0.666666666666667
19,0.00865612877077181,1,-0.685348821041748,64,0.75
23,0.00831795682863252,1,0.43632653548032,1024,0.666666666666667
16,0,0,10.35038863612,64,0.5
17,0.0348761514175048,1,-2.65921641575644,256,0.75
17,0,0,-2.27898909314086,4,0.75
19,0.222793826671943,0.555555555555556,2.26692032959015,2,0.75
20,0.111568936258531,1,4.40839449199348,256,0.666666666666667
12,0.500961432809581,1,8.3932584807468,256,0.666666666666667
4,0.5,1,3.15864322377145,1024,0.666666666666667
20,4.07239081920214E-05,0.111111111111111,10.2472482261818,64,0.666666666666667
3,0.5,1,0,16,0.833333333333333
16,0.00506605417908746,1,2.25154346207102,256,0.5
5,0.000296794618124258,0.25,5.4591350198398,2,0.75
9,0,0,8.90020416821353,4,0.5
1,0.5,1,0,16,0.833333333333333
3,0.5,1,-0.758799055872115,1024,0.5
19,0.0291418923878734,1,-1.95014091081399,16,0.666666666666667
12,0.206930614825352,1,6.9331853685456,2,0.833333333333333
